"Location","Population (in thousands) total 2006","Population annual growth rate (%) 1990","Population annual growth rate (%) 1991","Population annual growth rate (%) 1992","Population annual growth rate (%) 1993","Population annual growth rate (%) 1994","Population annual growth rate (%) 1995","Population annual growth rate (%) 1996","Population annual growth rate (%) 1997","Population annual growth rate (%) 1998","Population annual growth rate (%) 1999","Population annual growth rate (%) 2000","Population annual growth rate (%) 2001","Population annual growth rate (%) 2002","Population annual growth rate (%) 2003","Population annual growth rate (%) 2004","Population annual growth rate (%) 2005","Population annual growth rate (%) 2006","Population in urban areas (%) 1990","Population in urban areas (%) 2000","Population in urban areas (%) 2006","Population living below the poverty line (% living on < US$1 per day), 2000","Population living below the poverty line (% living on < US$1 per day), 2001","Population living below the poverty line (% living on < US$1 per day), 2002","Population living below the poverty line (% living on < US$1 per day), 2003","Population living below the poverty line (% living on < US$1 per day), 2004","Population median age (years), 2006","Population proportion over 60 (%) 2006","Population proportion under 15 (%) 2006"
"Barbados","293.0","0.8","0.7","0.7","0.6","0.6","0.5","0.5","0.5","0.5","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.3","45.0","50.0","53.0","","","","","","36.0","13.0","18.0"
"Belize","282.0","2.7","2.8","2.9","2.9","2.9","2.8","2.8","2.7","2.7","2.6","2.6","2.5","2.4","2.4","2.3","2.3","2.2","47.0","48.0","48.0","","","","","","21.0","6.0","37.0"
"Bolivia","9354.0","2.3","2.3","2.3","2.3","2.3","2.2","2.2","2.1","2.1","2.1","2.1","2.0","2.0","2.0","1.9","1.9","1.9","56.0","62.0","65.0","","","23.2","","","21.0","7.0","38.0"
"Brazil","189323.0","1.7","1.6","1.6","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.4","1.4","1.4","1.4","1.4","1.3","75.0","81.0","85.0","","","","","7.5","27.0","9.0","28.0"
"Canada","32577.0","1.3","1.3","1.2","1.1","1.1","1.0","1.0","0.9","0.9","0.9","0.9","1.0","1.0","1.0","1.0","1.0","0.9","77.0","79.0","80.0","","","","","","39.0","18.0","17.0"
"Chile","16465.0","1.8","1.8","1.8","1.8","1.7","1.6","1.5","1.4","1.3","1.3","1.2","1.2","1.1","1.1","1.1","1.1","1.0","83.0","86.0","88.0","<2.0","","","","","31.0","12.0","24.0"
"Colombia","45558.0","1.9","1.9","1.9","1.8","1.8","1.8","1.8","1.8","1.7","1.7","1.6","1.6","1.6","1.5","1.5","1.4","1.4","69.0","71.0","73.0","","","","7.0","","26.0","8.0","30.0"
"Costa Rica","4399.0","2.5","2.5","2.4","2.4","2.4","2.5","2.5","2.5","2.5","2.4","2.3","2.2","2.0","1.9","1.8","1.7","1.6","51.0","59.0","62.0","","","","3.3","","26.0","8.0","28.0"
"Cuba","11267.0","0.9","0.8","0.7","0.6","0.5","0.5","0.5","0.4","0.4","0.3","0.3","0.3","0.3","0.2","0.2","0.1","0.1","73.0","76.0","75.0","","","","","","36.0","16.0","19.0"
"Dominica","68.0","-0.6","-0.3","-0.1","0.1","0.1","0.1","0.0","-0.1","-0.1","-0.1","-0.1","-0.1","-0.1","-0.2","-0.2","-0.3","-0.3","68.0","69.0","71.0","","","","","","","11.0","28.0"
